t,x,y,z,yaw
1788516078.778919,1.271699,0.332255,0.606613,-0.175461
1788516078.845860,1.263494,0.297467,0.610813,-0.178237
1788516078.912925,1.255429,0.266582,0.612930,-0.178953
1788516078.979903,1.248433,0.238651,0.618123,-0.177680
1788516079.046926,1.241747,0.213936,0.627774,-0.174418
1788516079.113910,1.233932,0.188757,0.633857,-0.171509
1788516079.180912,1.225484,0.164475,0.636875,-0.170795
1788516079.247791,1.217204,0.142810,0.635768,-0.173543
1788516079.314867,1.208578,0.121955,0.635159,-0.177570
1788516079.381659,1.200072,0.118114,0.621170,-0.186360
1788516079.448765,1.188008,0.131692,0.614240,-0.196320
1788516079.515760,1.176731,0.155024,0.608856,-0.201516
1788516079.582783,1.164160,0.178290,0.603891,-0.201549
1788516079.649734,1.154657,0.203804,0.600902,-0.197676
1788516079.716763,1.142643,0.219329,0.599325,-0.187873
1788516079.783722,1.130347,0.231117,0.597696,-0.175796
1788516079.850657,1.119675,0.242391,0.587393,-0.163536
1788516079.917531,1.107816,0.252937,0.577326,-0.154163
1788516079.984618,1.095048,0.264375,0.579272,-0.149333
1788516080.051611,1.083724,0.281390,0.585212,-0.149359
1788516080.118614,1.075115,0.297344,0.586222,-0.151144
1788516080.185592,1.067222,0.309256,0.585934,-0.154214
1788516080.252607,1.059485,0.318673,0.585501,-0.158518
1788516080.319597,1.055011,0.327978,0.590329,-0.164768
1788516080.386468,1.051310,0.335600,0.588029,-0.170333
1788516080.453362,1.048692,0.338019,0.583555,-0.173459
1788516080.520471,1.047650,0.336876,0.585659,-0.172856
1788516080.587492,1.048435,0.337357,0.594188,-0.171643
1788516080.654519,1.050099,0.339139,0.594556,-0.169877
1788516080.721461,1.051364,0.330927,0.585971,-0.163120
1788516080.788491,1.050772,0.329850,0.573087,-0.159782
1788516080.855472,1.053648,0.327229,0.570180,-0.154494
1788516080.922350,1.059401,0.307636,0.579496,-0.144068
1788516080.989212,1.067209,0.299161,0.587589,-0.137996
1788516081.056312,1.076434,0.299346,0.596987,-0.137323
1788516081.123320,1.084730,0.291741,0.600695,-0.134305
1788516081.190320,1.088523,0.292980,0.596516,-0.136732
1788516081.257311,1.092893,0.309400,0.592729,-0.144308
1788516081.324296,1.098566,0.330148,0.590191,-0.152063
1788516081.391316,1.103129,0.338557,0.591993,-0.153571
1788516081.458203,1.105951,0.356177,0.590433,-0.154478
1788516081.525190,1.107025,0.382145,0.582018,-0.156625
1788516081.592046,1.106949,0.406675,0.583334,-0.158682
1788516081.659178,1.107418,0.431592,0.585366,-0.159943
1788516081.726171,1.104321,0.453665,0.579547,-0.159973
1788516081.793152,1.097156,0.478842,0.573040,-0.161965
1788516081.860296,1.094030,0.503140,0.572070,-0.165392
1788516081.927192,1.087754,0.528033,0.570374,-0.169441
1788516081.994144,1.079479,0.546809,0.569768,-0.171133
1788516082.061075,1.075790,0.561805,0.571917,-0.172256
1788516082.127892,1.070756,0.582875,0.573119,-0.176133
1788516082.195019,1.069823,0.596770,0.592104,-0.178188
1788516082.262046,1.072788,0.610107,0.608931,-0.181416
1788516082.329004,1.078271,0.621888,0.615275,-0.182774
1788516082.396044,1.081497,0.626663,0.620280,-0.179564
1788516082.463021,1.085533,0.625479,0.621341,-0.174345
1788516082.529934,1.089038,0.635528,0.623382,-0.173140
1788516082.596909,1.097798,0.649854,0.626866,-0.173411
1788516082.663785,1.100028,0.651201,0.627395,-0.168119
1788516082.730844,1.111406,0.650441,0.638131,-0.161855
1788516082.798542,1.115564,0.650302,0.637892,-0.157175
1788516082.864882,1.118144,0.652346,0.641037,-0.154772
1788516082.931926,1.122951,0.662407,0.642966,-0.154855
1788516082.998871,1.121558,0.670823,0.628787,-0.152182
1788516083.065749,1.118990,0.674907,0.612969,-0.147705
1788516083.132718,1.105252,0.690332,0.597247,-0.144215
1788516083.199621,1.097605,0.699490,0.576891,-0.137315
1788516083.266747,1.088763,0.703966,0.571045,-0.126647
1788516083.333714,1.080736,0.717276,0.573507,-0.119241
1788516083.400724,1.071540,0.723605,0.568729,-0.111418
1788516083.467721,1.061443,0.727942,0.558903,-0.104708
1788516083.534737,1.051755,0.733571,0.544864,-0.099491
1788516083.601592,1.039469,0.745859,0.548014,-0.098240
1788516083.735466,1.038250,0.762315,0.557767,-0.099636
1788516083.802583,1.044301,0.770818,0.561829,-0.099413
1788516083.869570,1.049224,0.777307,0.567648,-0.096078
1788516083.936558,1.053412,0.776838,0.569827,-0.090093
1788516084.003582,1.054552,0.774333,0.573661,-0.086382
1788516084.070565,1.048470,0.773461,0.591862,-0.087777
1788516084.137453,1.049917,0.770799,0.597723,-0.092583
1788516084.204444,1.055008,0.759942,0.596129,-0.098145
1788516084.271331,1.051299,0.740191,0.583095,-0.104593
1788516084.338426,1.044675,0.734942,0.574911,-0.120072
1788516084.405519,1.038044,0.732048,0.579016,-0.138276
1788516084.472434,1.043529,0.726226,0.577534,-0.158485
1788516084.539437,1.049243,0.723672,0.578863,-0.179506
1788516084.606416,1.052568,0.724776,0.576995,-0.199569
1788516084.673445,1.050820,0.730169,0.568020,-0.215073
1788516084.740273,1.057524,0.738513,0.563119,-0.226508
1788516084.807178,1.074448,0.747745,0.564517,-0.233604
1788516084.874306,1.089243,0.749315,0.581433,-0.233558
1788516084.941298,1.100268,0.754407,0.587756,-0.231838
1788516085.008312,1.111276,0.759898,0.581291,-0.229178
1788516085.075296,1.120358,0.758105,0.554529,-0.224261
1788516085.142421,1.126134,0.756192,0.544127,-0.220433
1788516085.209300,1.132041,0.754435,0.529779,-0.218163
1788516085.276143,1.139126,0.753567,0.498330,-0.215401
1788516085.343117,1.140039,0.755254,0.470157,-0.209826
1788516085.410161,1.140324,0.757359,0.454197,-0.200932
1788516085.477123,1.149165,0.756893,0.446165,-0.188807
1788516085.544271,1.155758,0.754498,0.436358,-0.171904
1788516085.611207,1.152537,0.751798,0.428446,-0.154261
1788516085.678189,1.145854,0.747605,0.403904,-0.137249
1788516085.745110,1.140350,0.745599,0.382116,-0.123127
