t,x,y,z,yaw
1788515964.553109,0.007108,0.002146,0.000000,-0.009529
1788515964.620991,0.008121,0.001740,0.000000,-0.009875
1788515964.684562,0.008223,0.001632,0.000000,-0.009875
1788515964.752150,0.008395,0.002180,0.000000,-0.008961
1788515964.819605,0.008173,0.001557,0.000000,-0.009306
1788515964.887112,0.007682,0.001856,0.000000,-0.010598
1788515964.950633,0.008020,0.002047,0.000000,-0.009133
1788515965.018626,0.008257,0.001902,0.000000,-0.007669
1788515965.085970,0.008262,0.002383,0.000000,-0.009006
1788515965.149514,0.008098,0.002169,0.000000,-0.010343
1788515965.217240,0.008052,0.001968,0.000000,-0.009098
1788515965.284665,0.007793,0.001834,0.000000,-0.010390
1788515965.353677,0.007939,0.001915,0.000000,-0.010390
1788515965.421396,0.007704,0.003027,0.000000,-0.011586
1788515965.483650,0.008430,0.002626,0.000000,-0.011586
1788515965.551121,0.008411,0.003365,0.000000,-0.010205
1788515965.618683,0.008508,0.003563,0.000000,-0.011670
1788515965.686350,0.008175,0.003972,0.000000,-0.012815
1788515965.750237,0.008734,0.004012,0.000000,-0.011271
1788515965.817929,0.007982,0.003757,0.000000,-0.010235
1788515965.885299,0.007589,0.003785,0.000000,-0.010235
1788515965.952985,0.007636,0.004072,0.000000,-0.011572
1788515966.016531,0.007896,0.004146,0.000000,-0.010480
1788515966.084267,0.007403,0.004013,0.000000,-0.010826
1788515966.151581,0.007766,0.004075,0.000000,-0.012290
1788515966.219616,0.007965,0.004223,0.000000,-0.011692
1788515966.283002,0.010119,0.005691,0.000000,-0.010920
1788515966.350581,0.015289,0.007979,0.000000,-0.012116
1788515966.418189,0.022109,0.011120,0.000000,-0.014354
1788515966.485794,0.031362,0.014745,0.000000,-0.017807
1788515966.549556,0.042762,0.022192,0.000000,-0.023088
1788515966.617249,0.057553,0.030753,0.000000,-0.029398
1788515966.685174,0.075706,0.039594,0.000000,-0.036146
1788515966.752003,0.093928,0.047679,0.000000,-0.043121
1788515966.819876,0.116363,0.055101,0.000000,-0.051269
1788515966.887638,0.136331,0.062552,0.000000,-0.056539
1788515966.952007,0.155024,0.072207,0.000000,-0.062213
1788515967.020357,0.173172,0.077243,0.000000,-0.068513
1788515967.086848,0.189950,0.081879,0.000000,-0.074443
1788515967.153960,0.204630,0.085450,0.000000,-0.079024
1788515967.221586,0.215824,0.087714,0.000000,-0.081096
1788515967.289304,0.225088,0.089133,0.000000,-0.081096
1788515967.356805,0.232774,0.090167,0.000000,-0.080607
1788515967.424755,0.237505,0.090975,0.000000,-0.079571
1788515967.489327,0.240548,0.091972,0.000000,-0.077307
1788515967.556699,0.243014,0.093170,0.000000,-0.075043
1788515967.623545,0.244914,0.094241,0.000000,-0.073030
1788515967.691396,0.246958,0.095523,0.000000,-0.069885
1788515967.758600,0.248192,0.096961,0.000000,-0.067278
1788515967.828947,0.250123,0.099061,0.000000,-0.064603
1788515967.894342,0.251484,0.102098,0.000000,-0.062138
1788515967.957413,0.254105,0.105792,0.000000,-0.060893
1788515968.025005,0.255616,0.109404,0.000000,-0.060047
1788515968.092575,0.258911,0.112213,0.000000,-0.060645
1788515968.160508,0.261427,0.115211,0.000000,-0.062110
1788515968.228008,0.263184,0.119079,0.000000,-0.062956
1788515968.297294,0.265044,0.121024,0.000000,-0.065516
1788515968.364025,0.267672,0.124097,0.000000,-0.067243
1788515968.427499,0.269339,0.125659,0.000000,-0.068862
1788515968.494387,0.270369,0.127390,0.000000,-0.070199
1788515968.561877,0.271981,0.128684,0.000000,-0.071235
1788515968.629696,0.272779,0.129057,0.000000,-0.068367
1788515968.697387,0.273840,0.130519,0.000000,-0.064446
1788515968.760654,0.274728,0.131065,0.000000,-0.060555
1788515968.828439,0.275398,0.131960,0.000000,-0.057243
1788515968.896252,0.276924,0.132005,0.000000,-0.054569
1788515968.963628,0.277622,0.131558,0.000000,-0.050298
1788515969.031367,0.278149,0.131413,0.000000,-0.047077
1788515969.099134,0.279126,0.131657,0.000000,-0.043857
1788515969.162712,0.279920,0.131955,0.000000,-0.042661
1788515969.230039,0.279416,0.131745,0.000000,-0.041156
1788515969.298548,0.279636,0.131797,0.000000,-0.042448
1788515969.365472,0.279159,0.131592,0.000000,-0.043644
1788515969.430014,0.278426,0.133261,0.000000,-0.045744
1788515969.497205,0.277397,0.133720,0.000000,-0.047816
1788515969.565111,0.274151,0.135219,0.000000,-0.049999
1788515969.632155,0.271778,0.136312,0.000000,-0.051691
1788515969.695397,0.268030,0.138167,0.000000,-0.053847
1788515969.764224,0.263956,0.140467,0.000000,-0.052651
1788515969.830487,0.259494,0.143131,0.000000,-0.050824
1788515969.898517,0.254892,0.145711,0.000000,-0.049132
1788515969.962761,0.250200,0.147394,0.000000,-0.048219
1788515970.030731,0.245616,0.149069,0.000000,-0.050347
1788515970.097043,0.241431,0.151064,0.000000,-0.053851
1788515970.164812,0.237092,0.152947,0.000000,-0.058636
1788515970.228622,0.231379,0.153217,0.000000,-0.065002
1788515970.295878,0.226086,0.153547,0.000000,-0.070633
1788515970.363485,0.221503,0.154918,0.000000,-0.076157
1788515970.431327,0.217675,0.153726,0.000000,-0.080579
